IFNCODE;IFNNAME;COMMONNAME
73;Betula spp.;Abedul
74;Corylus avellana;Avellano
75;Juglans regia;Nogal
76;Acer campestre;Arce
77;Tilia spp.;Tilo
78;Sorbus spp.;Sorbus
79;Platanus hispanica;Plátano
80;Laurisilva;Laurisilva
81;Myrica faya;Faya
82;Ilex canariensis;Acebiño
83;Erica arborea;Brezo arbóreo
84;Persea indica;Viñátigo
85;Sideroxylon marmulano;Marmulan
86;Picconia excelsa;Palo blanco
87;Ocotea phoetens;Til
88;Apollonias barbujana;Barbusano
89;Otras laurisilvas;Otras laurisilvas.
90;Mezcla de pequeñas frondosas;Frondosas de pequeño porte (H.t.<10 m)
92;Robinia pseudoacacia;Acacia robinia
94;Laurus nobilis;Laurel
95;Prunus spp.;Prunus
96;Rhus coriaria;Zumaque
97;Sambucus nigra;Saúco negro
98;Carpinus betulus;Carpe
99;Otras frondosas;Otras frondosas
207;Acacia melanoxylon;Acacia melanoxylon
215;Crataegus monogyna;Majuelo
217;Cedrus deodara;Cedro deodara
219;Tetraclinis articulata;Arar
235;Larix decidua;Alerce común
236;Cupressus arizonica;Ciprés arizónica
237;Juniperus oxycedrus;Enebro oxicedro
238;Juniperus turbinata;Sabina canaria
243;Quercus pubescens (Q. humilis);Roble húmilis
244;Quercus lusitanica (Q. fruticosa);Quercus lusitanica
245;Quercus ilex ssp. ilex;Alsina
253;Tamarix canariensis;Tarajal
255;Fraxinus excelsior;Fresno excelsior
256;Ulmus glabra;Olmo montano
257;Salix alba;Sauce blanco
258;Populus x canadensis;Chopo híbrido
264;Eucalyptus viminalis;Eucalipto viminalis
268;Arbutus canariensis;Madroño canario
273;Betula alba;Abedul pubescens
275;Juglans nigra;Nogal
276;Acer monspessulanum;Arce de Montpelier
277;Tilia cordata;Tilo cordata
278;Sorbus aria;Mostajo
279;Platanus orientalis;Plátano oriental
281;Myrica rivas-martinezii;Faya herreña
282;Ilex platyphylla;Naranjero
283;Erica scoparia;Tejo, brezo arbóreo escopario
289;Pleiomeris canariensis;Delfino
292;Sophora japonica;Acacia sofora
293;Pistacia atlantica;Cornicabra canaria
294;Laurus azorica;Loro, laurel
299;Ficus carica;Higuera
307;Acacia dealbata;Acacia dealbata
315;Crataegus laevigata;Espino majuelo
317;Cedrus libani;Cedrus libani
319;Thuja spp.;Thuja
335;Larix leptolepis;Alerce leptolepis
336;Cupressus lusitanica;Ciprés lambertiana
337;Juniperus cedrus;Enebro canario
344;Quercus alpestris;
355;Fraxinus ornus;Fresno orno
356;Ulmus pumila;Olmo pumilo
357;Salix atrocinerea;Bardaguera
364;Eucalyptus gomphocephalus;Eucalipto gonfo
373;Betula pendula;Abedul péndula
376;Acer negundo;Arce negundo
377;Tilia platyphyllos;Tilo común
378;Sorbus aucuparia;Serbal de cazadores
389;Rhamnus glandulosa;Sanguino
392;Gleditsia triacanthos;Acacia gleditsia
395;Prunus avium;Cerezo silvestre
399;Morus spp.;Morera
415;Crataegus lacinata;Majoleto
435;Larix x eurolepis;Alerce híbrido
436;Cupressus macrocarpa;Ciprés americano
455;Fraxinus spp.;Fresno
456;Ulmus spp.;Olmo
457;Salix babylonica;Sauce llorón
464;Eucalyptus robusta;Eucalipto robusto
469;Phoenix canariensis;Palmera
476;Acer opalus;Arce ópalus
478;Sorbus domestica;Serbal común
489;Visnea mocanera;Mocan
495;Prunus lusitanica;Loro, Hija
499;Morus alba;Morera blanca
515;Crataegus azarolus;Espino
557;Salix cantabrica;Sauce cantábrico
569;Dracaena draco;Drago
576;Acer pseudoplatanus;Arce seudoplátano
578;Sorbus torminalis;Serbal torminal
595;Prunus padus;Prunus padus
599;Morus nigra;Morera negra
657;Salix caprea;Sauce cabruno
676;Acer platanoides;Arce platanoide
678;Sorbus latifolia;Serbal de hoja ancha
757;Salix elaeagnos;Sarga
776;Acer spp. ;Arce
778;Sorbus chamaemespilus;Serbal chame
857;Salix fragilis;Mimbre
858;Salix canariensis;Sauce canario
957;Salix purpurea;Mimbrera
